INFO:     Started server process [5100]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:8010 (Press CTRL+C to quit)
2026-09-10 14:40:53,804 | ERROR | app.image_extractor | Vision analysis failed for C:\Users\Suraj.mm1\Downloads\docgenplatform-feature-doc-quality-fixes-sohan\orchestration\brd_convo_app\backend\app\extracted_images\499576837090.png: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-09-10 14:40:54,219 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:40:54,223 | INFO | openai._base_client | Retrying request to /chat/completions in 0.383646 seconds
2026-09-10 14:40:55,000 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:40:55,008 | ERROR | app.image_extractor | Vision analysis failed for C:\Users\Suraj.mm1\Downloads\docgenplatform-feature-doc-quality-fixes-sohan\orchestration\brd_convo_app\backend\app\extracted_images\410e29befe04.png: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-09-10 14:40:55,380 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:40:55,386 | INFO | openai._base_client | Retrying request to /chat/completions in 0.458487 seconds
2026-09-10 14:40:56,180 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:40:56,187 | ERROR | app.image_extractor | Vision analysis failed for C:\Users\Suraj.mm1\Downloads\docgenplatform-feature-doc-quality-fixes-sohan\orchestration\brd_convo_app\backend\app\extracted_images\055a5f5a9b18.png: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-09-10 14:40:56,554 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:40:56,561 | INFO | openai._base_client | Retrying request to /chat/completions in 0.455169 seconds
2026-09-10 14:40:57,454 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:40:57,458 | ERROR | app.image_extractor | Vision analysis failed for C:\Users\Suraj.mm1\Downloads\docgenplatform-feature-doc-quality-fixes-sohan\orchestration\brd_convo_app\backend\app\extracted_images\57aeb9cf761c.png: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-09-10 14:40:57,861 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:40:57,865 | INFO | openai._base_client | Retrying request to /chat/completions in 0.431952 seconds
2026-09-10 14:40:58,653 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:40:58,659 | ERROR | app.image_extractor | Vision analysis failed for C:\Users\Suraj.mm1\Downloads\docgenplatform-feature-doc-quality-fixes-sohan\orchestration\brd_convo_app\backend\app\extracted_images\70df01b38c53.png: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-09-10 14:40:58,660 | ERROR | app.image_extractor | Vision circuit breaker tripped after 5 consecutive failures — skipping vision for remaining images in this run.
2026-09-10 14:40:58,758 | INFO | app.image_extractor | Appended 0 new images to image_chunks.json (total: 3717)
2026-09-10 14:40:59,273 | INFO | app.image_index | Loaded 3717 images from C:\Users\Suraj.mm1\Downloads\docgenplatform-feature-doc-quality-fixes-sohan\orchestration\brd_convo_app\backend\app\image_chunks.json
2026-09-10 14:40:59,307 | INFO | app.image_index | Image index reloaded: 3717 records
2026-09-10 14:40:59,311 | INFO | SlideRenderer | Whole-slide rendering for Metro_SAP_CALM_Proposal.pptx: 6 rendered, 0 newly indexed
2026-09-10 14:40:59,312 | INFO | ProjectRoutes | Whole-slide rendering for 6581c97e: 6 rendered, 0 indexed
2026-09-10 14:40:59,325 | INFO | rerun_vision | APP_DIR      : C:\Users\Suraj.mm1\Downloads\docgenplatform-feature-doc-quality-fixes-sohan\orchestration\brd_convo_app\backend\app
2026-09-10 14:40:59,328 | INFO | rerun_vision | image_chunks : C:\Users\Suraj.mm1\Downloads\docgenplatform-feature-doc-quality-fixes-sohan\orchestration\brd_convo_app\backend\app\image_chunks.json
2026-09-10 14:40:59,329 | INFO | rerun_vision | extracted_dir: C:\Users\Suraj.mm1\Downloads\docgenplatform-feature-doc-quality-fixes-sohan\orchestration\brd_convo_app\backend\app\extracted_images
2026-09-10 14:40:59,391 | INFO | ProjectRoutes | Vision retry: 5 image(s) from Metro_SAP_CALM_Proposal.pptx still need analysis — running now.
2026-09-10 14:40:59,453 | INFO | httpx | HTTP Request: POST https://ai-adoption-coe.services.ai.azure.com/openai/deployments/gpt-5.4/chat/completions?api-version=2025-01-01-preview "HTTP/1.1 200 OK"
2026-09-10 14:40:59,456 | INFO | app.claude_provider | claude_provider(azure): gen=1/2 deployment=gpt-5.4 finish=stop chars=152 budget=500 effort=none
2026-09-10 14:40:59,456 | INFO | app.image_injection | Image relevance check for 'SOW Overview': 2 candidate(s) -> 0 kept
2026-09-10 14:41:00,127 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:41:00,133 | INFO | openai._base_client | Retrying request to /chat/completions in 0.413640 seconds
2026-09-10 14:41:00,909 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:41:00,912 | ERROR | rerun_vision | Vision call failed for 6b34b4fc95c9.png: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-09-10 14:41:01,257 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:41:01,260 | INFO | openai._base_client | Retrying request to /chat/completions in 0.480833 seconds
2026-09-10 14:41:02,123 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:41:02,129 | ERROR | rerun_vision | Vision call failed for 876a0b21fad4.png: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-09-10 14:41:02,516 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:41:02,518 | INFO | openai._base_client | Retrying request to /chat/completions in 0.467532 seconds
2026-09-10 14:41:03,342 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:41:03,343 | ERROR | rerun_vision | Vision call failed for e6979888b94e.png: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-09-10 14:41:06,201 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:41:06,204 | INFO | openai._base_client | Retrying request to /chat/completions in 0.445006 seconds
